post_id,post_date,brand_id,brand_name,country,ig_handle,format,theme,main_hook,likes,comments,saves,shares,engagement_rate,surge_flag
P0002,2026-05-11,BR001,Glow Recipe,US,@glowrecipe,릴스,K-beauty 루틴 소개,패키지,144053,7735,12892,8249,9.35%,N
P0083,2026-05-08,BR020,Then I Met You,US,@thenimetyou,릴스,민감성 피부 사례,비건,6301,246,694,609,8.26%,N
P0034,2026-05-09,BR008,TIRTIR,KR,@tirtir.korea,릴스,글로벌 매거진 픽업,비건,32229,1501,2814,3114,5.51%,N
P0055,2026-05-10,BR013,Tirtir Japan,JP,@tirtir_japan,이미지,한정판 패키지 unbox,민감성 안전,6072,108,609,529,4.88%,Y
P0085,2026-05-11,BR020,Then I Met You,US,@thenimetyou,릴스,Sephora/Amazon 입점 announcement,한정판,8461,176,947,478,10.59%,Y
P0016,2026-05-14,BR003,Fenty Skin,US,@fentyskin,카드뉴스,신제품 런칭 티저,콜라보,43667,2318,7779,2529,2.45%,N
P0031,2026-05-08,BR007,Beauty of Joseon,KR,@beautyofjoseon,이미지,병행 사용 루틴 데모,패키지,29481,1396,4178,3038,3.89%,N
P0040,2026-05-13,BR009,AMUSE,KR,@amuse.official,이미지,신제품 런칭 티저,비건,5683,88,316,472,1.53%,N
P0009,2026-05-13,BR002,Tower 28,US,@tower28beauty,이미지,리뷰 모음 (UGC 큐레이션),지속력,23192,639,2534,550,4.64%,Y
P0022,2026-05-13,BR005,Rare Beauty,US,@rarebeauty,이미지,Sephora/Amazon 입점 announcement,가격,154332,8847,22889,10037,4.78%,Y
P0063,2026-05-12,BR015,Naturium,US,@naturium,릴스,팬덤 콘텐츠 (해시태그 챌린지),콜라보,59328,3327,7902,4668,11.06%,Y
P0084,2026-05-11,BR020,Then I Met You,US,@thenimetyou,이미지,Before-After 사용 후기,한정판,995,32,169,114,1.38%,N
P0077,2026-05-10,BR018,Innisfree,KR,@innisfreeofficial,카드뉴스,성분 narrative (vitamin C / niacinamide / mugwort),텍스처,43006,700,6919,1867,4.37%,N
P0062,2026-05-11,BR014,Cosrx,KR,@cosrx,릴스,팬덤 콘텐츠 (해시태그 챌린지),결과 후기,56291,2988,3450,3264,3.88%,N
P0011,2026-05-14,BR002,Tower 28,US,@tower28beauty,릴스,비건/클린뷰티 메시지,결과 후기,38135,1706,6772,1176,8.24%,N
P0052,2026-05-08,BR012,ANUA,KR,@anua_official,카드뉴스,성분 narrative (vitamin C / niacinamide / mugwort),비건,12614,438,1000,1470,3.79%,N
P0058,2026-05-11,BR014,Cosrx,KR,@cosrx,콜라보영상,리뷰 모음 (UGC 큐레이션),가격,161472,7669,28122,8828,12.12%,N
P0035,2026-05-12,BR008,TIRTIR,KR,@tirtir.korea,이미지,글로벌 매거진 픽업,패키지,25139,656,3904,2140,4.42%,Y
P0030,2026-05-11,BR007,Beauty of Joseon,KR,@beautyofjoseon,콜라보영상,신제품 런칭 티저,성분,39185,624,6142,1674,4.86%,N
P0033,2026-05-13,BR008,TIRTIR,KR,@tirtir.korea,스토리하이라이트,Before-After 사용 후기,한정판,13504,634,1124,287,2.16%,Y
P0010,2026-05-12,BR002,Tower 28,US,@tower28beauty,이미지,민감성 피부 사례,결과 후기,12879,518,1951,1109,2.84%,N
P0050,2026-05-08,BR012,ANUA,KR,@anua_official,릴스,인플루언서 GRWM,결과 후기,12989,574,1856,501,3.88%,N
P0056,2026-05-09,BR013,Tirtir Japan,JP,@tirtir_japan,스토리하이라이트,한정판 패키지 unbox,한정판,589,27,93,25,0.49%,N
P0076,2026-05-12,BR017,Saie,US,@saiehello,카드뉴스,K-beauty 루틴 소개,결과 후기,23092,392,2191,2672,5.56%,Y
P0019,2026-05-11,BR004,Drunk Elephant,US,@drunkelephant,카드뉴스,비건/클린뷰티 메시지,결과 후기,14183,398,788,402,1.31%,N
P0004,2026-05-13,BR001,Glow Recipe,US,@glowrecipe,콜라보영상,신제품 런칭 티저,비건,155559,5023,19251,16097,10.59%,N
P0069,2026-05-08,BR016,U Beauty,US,@ubeauty,릴스,비건/클린뷰티 메시지,성분,24109,967,3480,1534,13.08%,Y
P0043,2026-05-13,BR010,ROUND LAB,KR,@roundlab_official,콜라보영상,Sephora/Amazon 입점 announcement,민감성 안전,68972,3659,9831,6889,17.18%,Y
P0038,2026-05-11,BR009,AMUSE,KR,@amuse.official,이미지,TikTok Shop 라이브 클립,텍스처,17989,689,2163,1831,5.27%,Y
P0065,2026-05-13,BR015,Naturium,US,@naturium,이미지,신제품 런칭 티저,패키지,5885,220,948,487,1.11%,N
P0071,2026-05-10,BR016,U Beauty,US,@ubeauty,릴스,성분 narrative (vitamin C / niacinamide / mugwort),콜라보,22936,755,1112,1248,11.33%,Y
P0059,2026-05-08,BR014,Cosrx,KR,@cosrx,이미지,병행 사용 루틴 데모,한정판,30812,1638,3937,1946,2.25%,N
P0048,2026-05-13,BR011,Mediheal,KR,@mediheal_official,이미지,한정판 패키지 unbox,콜라보,29489,483,1827,776,3.66%,N
P0051,2026-05-09,BR012,ANUA,KR,@anua_official,카드뉴스,Before-After 사용 후기,결과 후기,7951,105,996,173,2.25%,N
P0008,2026-05-08,BR002,Tower 28,US,@tower28beauty,이미지,리뷰 모음 (UGC 큐레이션),가격,17295,714,2861,1315,3.82%,N
P0015,2026-05-11,BR003,Fenty Skin,US,@fentyskin,릴스,인플루언서 GRWM,성분,238318,14081,20483,21405,12.80%,Y
P0060,2026-05-13,BR014,Cosrx,KR,@cosrx,이미지,팬덤 콘텐츠 (해시태그 챌린지),패키지,69392,3628,4310,3184,4.74%,Y
P0067,2026-05-09,BR015,Naturium,US,@naturium,릴스,리뷰 모음 (UGC 큐레이션),민감성 안전,59766,1069,3229,6113,10.32%,Y
P0020,2026-05-09,BR005,Rare Beauty,US,@rarebeauty,이미지,성분 설명 (실험실/연구원 출연),패키지,80218,3280,7116,8900,2.43%,N
P0013,2026-05-09,BR003,Fenty Skin,US,@fentyskin,이미지,한정판 패키지 unbox,가격,27036,535,4680,3180,1.54%,N
P0006,2026-05-08,BR001,Glow Recipe,US,@glowrecipe,릴스,글로벌 매거진 픽업,한정판,107961,3347,11572,4273,6.87%,N
P0081,2026-05-09,BR019,Laneige,KR,@laneige_kr,릴스,성분 설명 (실험실/연구원 출연),콜라보,15061,567,2342,1777,2.41%,N
P0046,2026-05-11,BR010,ROUND LAB,KR,@roundlab_official,릴스,리뷰 모음 (UGC 큐레이션),민감성 안전,52077,2283,9038,4837,13.12%,Y
P0014,2026-05-11,BR003,Fenty Skin,US,@fentyskin,카드뉴스,Before-After 사용 후기,가격,67044,2350,9910,2815,3.57%,N
P0078,2026-05-13,BR018,Innisfree,KR,@innisfreeofficial,릴스,K-beauty 루틴 소개,지속력,74787,4038,6642,4864,7.53%,N
P0044,2026-05-14,BR010,ROUND LAB,KR,@roundlab_official,릴스,글로벌 매거진 픽업,텍스처,41053,1622,6008,3063,9.95%,Y
P0070,2026-05-10,BR016,U Beauty,US,@ubeauty,릴스,병행 사용 루틴 데모,콜라보,23477,501,2970,1972,12.57%,Y
P0061,2026-05-11,BR014,Cosrx,KR,@cosrx,이미지,성분 narrative (vitamin C / niacinamide / mugwort),가격,26225,972,1941,608,1.75%,N
P0080,2026-05-14,BR019,Laneige,KR,@laneige_kr,카드뉴스,K-beauty 루틴 소개,패키지,35806,702,3276,1674,5.06%,Y
P0079,2026-05-14,BR018,Innisfree,KR,@innisfreeofficial,릴스,K-beauty 루틴 소개,결과 후기,22904,1148,3648,1371,2.42%,N
P0088,2026-05-13,BR006,Topicals,US,@topicals,콜라보영상,팬덤 콘텐츠 (해시태그 챌린지),민감성 안전,298000,14200,88000,36500,71.40%,Y
P0024,2026-05-08,BR006,Topicals,US,@topicals,카드뉴스,한정판 패키지 unbox,성분,7199,382,1141,284,1.48%,N
P0042,2026-05-14,BR010,ROUND LAB,KR,@roundlab_official,이미지,팬덤 콘텐츠 (해시태그 챌린지),패키지,15143,530,678,513,3.24%,N
P0074,2026-05-10,BR017,Saie,US,@saiehello,릴스,성분 narrative (vitamin C / niacinamide / mugwort),결과 후기,26840,441,2299,2921,6.37%,N
P0029,2026-05-09,BR007,Beauty of Joseon,KR,@beautyofjoseon,이미지,팬덤 콘텐츠 (해시태그 챌린지),콜라보,14011,333,1092,1228,1.70%,N
P0086,2026-05-12,BR020,Then I Met You,US,@thenimetyou,이미지,한정판 패키지 unbox,비건,3020,79,291,66,3.64%,N
P0066,2026-05-10,BR015,Naturium,US,@naturium,콜라보영상,성분 설명 (실험실/연구원 출연),패키지,54750,2118,8053,4827,10.26%,N
P0072,2026-05-12,BR017,Saie,US,@saiehello,릴스,Sephora/Amazon 입점 announcement,민감성 안전,9674,297,1103,685,2.31%,N
P0027,2026-05-08,BR007,Beauty of Joseon,KR,@beautyofjoseon,릴스,글로벌 매거진 픽업,지속력,38644,536,5675,2132,4.79%,N
P0041,2026-05-13,BR010,ROUND LAB,KR,@roundlab_official,릴스,비건/클린뷰티 메시지,비건,20885,1136,3549,2387,5.38%,N
P0082,2026-05-14,BR019,Laneige,KR,@laneige_kr,카드뉴스,Sephora/Amazon 입점 announcement,한정판,19719,708,2160,1537,2.94%,N
P0037,2026-05-10,BR009,AMUSE,KR,@amuse.official,이미지,병행 사용 루틴 데모,성분,17294,893,2984,1528,5.28%,Y
P0057,2026-05-10,BR014,Cosrx,KR,@cosrx,릴스,성분 설명 (실험실/연구원 출연),패키지,66082,2045,8351,3604,4.71%,N
P0021,2026-05-11,BR005,Rare Beauty,US,@rarebeauty,릴스,병행 사용 루틴 데모,한정판,112707,5888,9569,11734,3.41%,N
P0003,2026-05-14,BR001,Glow Recipe,US,@glowrecipe,릴스,성분 narrative (vitamin C / niacinamide / mugwort),한정판,197904,5734,22729,10416,12.80%,Y
P0036,2026-05-09,BR009,AMUSE,KR,@amuse.official,이미지,Sephora/Amazon 입점 announcement,텍스처,13340,382,1462,806,3.72%,N
P0007,2026-05-12,BR002,Tower 28,US,@tower28beauty,릴스,리뷰 모음 (UGC 큐레이션),비건,12519,320,737,1430,2.59%,N
P0053,2026-05-13,BR012,ANUA,KR,@anua_official,릴스,민감성 피부 사례,지속력,21499,344,1073,2178,6.12%,N
P0068,2026-05-11,BR015,Naturium,US,@naturium,릴스,K-beauty 루틴 소개,패키지,68420,1382,7577,4062,11.98%,Y
P0049,2026-05-08,BR011,Mediheal,KR,@mediheal_official,카드뉴스,TikTok Shop 라이브 클립,가격,16591,545,1337,1846,2.28%,N
P0039,2026-05-10,BR009,AMUSE,KR,@amuse.official,카드뉴스,TikTok Shop 라이브 클립,패키지,16182,612,2368,958,4.68%,N
P0073,2026-05-12,BR017,Saie,US,@saiehello,릴스,병행 사용 루틴 데모,텍스처,16711,888,807,1582,3.92%,N
P0045,2026-05-08,BR010,ROUND LAB,KR,@roundlab_official,릴스,비건/클린뷰티 메시지,결과 후기,16485,381,2914,1689,4.13%,N
P0064,2026-05-08,BR015,Naturium,US,@naturium,스토리하이라이트,Sephora/Amazon 입점 announcement,콜라보,6333,325,982,389,1.18%,N
P0018,2026-05-13,BR004,Drunk Elephant,US,@drunkelephant,카드뉴스,리뷰 모음 (UGC 큐레이션),성분,28412,1472,3510,2840,3.02%,N
P0032,2026-05-09,BR007,Beauty of Joseon,KR,@beautyofjoseon,릴스,병행 사용 루틴 데모,성분,98583,4756,6553,4517,11.67%,Y
P0026,2026-05-13,BR006,Topicals,US,@topicals,릴스,Sephora/Amazon 입점 announcement,가격,45752,2000,2968,1716,8.60%,N
P0089,2026-05-11,BR012,ANUA,KR,@anua_official,릴스,Before-After 사용 후기,결과 후기,187000,9200,41000,18800,62.92%,Y
P0047,2026-05-12,BR011,Mediheal,KR,@mediheal_official,릴스,인플루언서 GRWM,결과 후기,27146,579,4608,1138,3.76%,N
P0017,2026-05-14,BR004,Drunk Elephant,US,@drunkelephant,스토리하이라이트,Sephora/Amazon 입점 announcement,가격,16904,409,1729,504,1.63%,N
P0028,2026-05-12,BR007,Beauty of Joseon,KR,@beautyofjoseon,이미지,한정판 패키지 unbox,한정판,29977,1307,4914,1702,3.87%,N
P0054,2026-05-10,BR013,Tirtir Japan,JP,@tirtir_japan,이미지,팬덤 콘텐츠 (해시태그 챌린지),비건,1162,19,199,45,0.95%,N
P0023,2026-05-09,BR005,Rare Beauty,US,@rarebeauty,카드뉴스,TikTok Shop 라이브 클립,성분,165488,7529,7498,17898,4.84%,N
P0012,2026-05-12,BR003,Fenty Skin,US,@fentyskin,이미지,병행 사용 루틴 데모,비건,68408,2675,11061,4832,3.78%,N
P0087,2026-05-12,BR007,Beauty of Joseon,KR,@beautyofjoseon,릴스,성분 narrative (vitamin C / niacinamide / mugwort),성분,412000,18800,96000,41000,57.93%,Y
P0005,2026-05-14,BR001,Glow Recipe,US,@glowrecipe,릴스,성분 설명 (실험실/연구원 출연),한정판,146030,4759,16478,7909,9.47%,N
P0001,2026-05-14,BR001,Glow Recipe,US,@glowrecipe,카드뉴스,글로벌 매거진 픽업,한정판,51214,2945,9127,1799,3.52%,N
P0025,2026-05-13,BR006,Topicals,US,@topicals,이미지,민감성 피부 사례,패키지,20835,693,2983,2154,4.37%,Y
P0075,2026-05-10,BR017,Saie,US,@saiehello,릴스,리뷰 모음 (UGC 큐레이션),비건,54048,1659,4907,4504,12.77%,Y
