후기ID,이벤트ID,학교ID,학교명,학년구분,차시,수업일자,후기작성일,작성앙꼬,이슈여부,이슈심각도,후기본문,대응상태
REV-0097,CAL-0147,SCH-026,이루리중학교,중등,5,2026-04-01,2026-04-01,앙꼬3(나윤),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0098,CAL-0148,SCH-026,이루리중학교,중등,6,2026-04-08,2026-04-11,앙꼬3(나윤),N,없음,처음에는 어색해하더니 후반부에 활동 몰입도 높았어요. 발표 톤도 좋았습니다,댓글확인완료
REV-0099,CAL-0151,SCH-027,아름고등학교,고등,3,2026-04-15,2026-04-17,앙꼬4(소영),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0100,CAL-0152,SCH-027,아름고등학교,고등,4,2026-04-22,2026-04-23,앙꼬4(소영),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0101,CAL-0154,SCH-028,별빛중학교,중등,2,2026-03-18,2026-03-20,앙꼬4(소영),Y,저,학생 출결이 평소보다 적었어요(20명 중 14명). 학교 측 행사와 겹쳤는지 확인 부탁드려요,댓글확인완료
REV-0102,CAL-0155,SCH-028,별빛중학교,중등,3,2026-03-25,2026-03-28,앙꼬4(소영),Y,저,한 학생이 활동 도중 무리하게 도구를 다뤄서 다음에는 안전 안내 한 번 더 짚어주시면 좋겠습니다,댓글확인완료
REV-0103,CAL-0156,SCH-028,별빛중학교,중등,4,2026-04-01,2026-04-01,앙꼬4(소영),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0104,CAL-0159,SCH-028,별빛중학교,중등,7,2026-04-22,2026-04-23,앙꼬4(소영),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0105,CAL-0161,SCH-029,온누리특성화고,고등,1,2026-04-01,2026-04-04,앙꼬4(소영),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0106,CAL-0162,SCH-029,온누리특성화고,고등,2,2026-04-08,2026-04-11,앙꼬4(소영),Y,저,한 학생이 활동 도중 무리하게 도구를 다뤄서 다음에는 안전 안내 한 번 더 짚어주시면 좋겠습니다,전화대응완료
REV-0107,CAL-0163,SCH-029,온누리특성화고,고등,3,2026-04-15,2026-04-15,앙꼬4(소영),Y,중,고등학교는 6교시가 14:30 시작이 아니라 14:50이에요. 다른 학교들과 다른데 캘린더에 시작 시간 수정 부탁드려요,전화대응완료
REV-0108,CAL-0164,SCH-029,온누리특성화고,고등,4,2026-04-22,2026-04-23,앙꼬4(소영),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0109,CAL-0165,SCH-029,온누리특성화고,고등,5,2026-04-29,2026-04-29,앙꼬4(소영),N,없음,마지막 차시. 수료증 받을 때 박수까지 나왔어요. 학교 측 만족도 높아 보였습니다,댓글확인완료
REV-0110,CAL-0166,SCH-029,온누리특성화고,고등,6,2026-05-06,2026-05-08,앙꼬4(소영),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0111,CAL-0167,SCH-030,다래중학교,중등,1,2026-03-18,2026-03-21,앙꼬4(소영),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0112,CAL-0172,SCH-030,다래중학교,중등,6,2026-04-22,2026-04-22,앙꼬4(소영),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0113,CAL-0173,SCH-031,들꽃중학교,중등,1,2026-03-18,2026-03-19,앙꼬4(소영),Y,중,담당 교사분이 갑자기 교실 변경을 통보하셔서 헷갈렸어요. 다음 회차 전에 교실 위치 한 번 더 확인 부탁드려요,댓글확인완료
REV-0114,CAL-0174,SCH-031,들꽃중학교,중등,2,2026-03-25,2026-03-25,앙꼬4(소영),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0115,CAL-0175,SCH-031,들꽃중학교,중등,3,2026-04-01,2026-04-04,앙꼬4(소영),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0116,CAL-0176,SCH-031,들꽃중학교,중등,4,2026-04-08,2026-04-10,앙꼬4(소영),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0117,CAL-0177,SCH-031,들꽃중학교,중등,5,2026-04-15,2026-04-15,앙꼬4(소영),Y,중,특성화고는 일반계와 학생 반응이 많이 달라요. 워크북 3차시 사례 부분을 특성화고용 별도 버전으로 분리 검토 부탁드려요,전화대응완료
REV-0118,CAL-0179,SCH-032,이슬고등학교,고등,1,2026-04-01,2026-04-02,앙꼬4(소영),N,없음,워크북 채우는 속도가 빨라서 추가 활동 즉석 진행. 시간 잘 맞춰서 종료했습니다,댓글확인완료
REV-0119,CAL-0180,SCH-032,이슬고등학교,고등,2,2026-04-08,2026-04-08,앙꼬4(소영),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0120,CAL-0181,SCH-032,이슬고등학교,고등,3,2026-04-15,2026-04-15,앙꼬4(소영),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0121,CAL-0182,SCH-032,이슬고등학교,고등,4,2026-04-22,2026-04-23,앙꼬4(소영),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0122,CAL-0185,SCH-033,다정고등학교,고등,1,2026-04-15,2026-04-15,앙꼬5(예린),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0123,CAL-0187,SCH-033,다정고등학교,고등,3,2026-04-29,2026-04-30,앙꼬5(예린),Y,중,고등학교는 6교시가 14:30 시작이 아니라 14:50이에요. 다른 학교들과 다른데 캘린더에 시작 시간 수정 부탁드려요,댓글확인완료
REV-0124,CAL-0188,SCH-033,다정고등학교,고등,4,2026-05-06,2026-05-07,앙꼬5(예린),Y,저,워크북 인쇄 상태가 깨끗하지 않아서 다음 차시 발송 시 인쇄 품질 확인 부탁드려요,미확인
REV-0125,CAL-0189,SCH-033,다정고등학교,고등,5,2026-05-13,2026-05-13,앙꼬5(예린),Y,심,담당 교사분이 다음 차시부터는 어렵겠다고 하셔서 학교 측 일정 재조율 필요해 보입니다. 본사 연락 부탁드려요,전화대응완료
REV-0126,CAL-0192,SCH-034,솔향고등학교,고등,2,2026-04-08,2026-04-09,앙꼬5(예린),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0127,CAL-0194,SCH-034,솔향고등학교,고등,4,2026-04-22,2026-04-22,앙꼬5(예린),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0128,CAL-0195,SCH-035,참샘중학교,중등,1,2026-03-11,2026-03-12,앙꼬3(나윤),Y,중,담당 교사분이 갑자기 교실 변경을 통보하셔서 헷갈렸어요. 다음 회차 전에 교실 위치 한 번 더 확인 부탁드려요,미확인
REV-0129,CAL-0198,SCH-035,참샘중학교,중등,4,2026-04-01,2026-04-01,앙꼬3(나윤),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0130,CAL-0199,SCH-035,참샘중학교,중등,5,2026-04-08,2026-04-11,앙꼬3(나윤),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0131,CAL-0200,SCH-035,참샘중학교,중등,6,2026-04-15,2026-04-15,앙꼬3(나윤),N,없음,처음에는 어색해하더니 후반부에 활동 몰입도 높았어요. 발표 톤도 좋았습니다,댓글확인완료
REV-0132,CAL-0201,SCH-035,참샘중학교,중등,7,2026-04-22,2026-04-22,앙꼬3(나윤),N,없음,마지막 차시. 수료증 받을 때 박수까지 나왔어요. 학교 측 만족도 높아 보였습니다,댓글확인완료
REV-0133,CAL-0203,SCH-036,푸르내특성화고,고등,1,2026-03-25,2026-03-28,앙꼬3(나윤),Y,중,담당 교사분이 갑자기 교실 변경을 통보하셔서 헷갈렸어요. 다음 회차 전에 교실 위치 한 번 더 확인 부탁드려요,댓글확인완료
REV-0134,CAL-0205,SCH-036,푸르내특성화고,고등,3,2026-04-15,2026-04-17,앙꼬3(나윤),Y,심,담당 교사분이 다음 차시부터는 어렵겠다고 하셔서 학교 측 일정 재조율 필요해 보입니다. 본사 연락 부탁드려요,전화대응완료
REV-0135,CAL-0206,SCH-036,푸르내특성화고,고등,4,2026-04-22,2026-04-25,앙꼬3(나윤),N,없음,워크북 채우는 속도가 빨라서 추가 활동 즉석 진행. 시간 잘 맞춰서 종료했습니다,댓글확인완료
REV-0136,CAL-0207,SCH-037,햇빛고등학교,고등,1,2026-04-15,2026-04-15,앙꼬4(소영),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0137,CAL-0208,SCH-037,햇빛고등학교,고등,2,2026-04-22,2026-04-24,앙꼬4(소영),Y,중,고등학교는 6교시가 14:30 시작이 아니라 14:50이에요. 다른 학교들과 다른데 캘린더에 시작 시간 수정 부탁드려요,미확인
REV-0138,CAL-0210,SCH-037,햇빛고등학교,고등,4,2026-05-06,2026-05-07,앙꼬4(소영),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0139,CAL-0212,SCH-038,수린고등학교,고등,2,2026-04-22,2026-04-23,앙꼬4(소영),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0140,CAL-0214,SCH-038,수린고등학교,고등,4,2026-05-06,2026-05-09,앙꼬4(소영),Y,중,담당 교사분이 갑자기 교실 변경을 통보하셔서 헷갈렸어요. 다음 회차 전에 교실 위치 한 번 더 확인 부탁드려요,전화대응완료
REV-0141,CAL-0215,SCH-038,수린고등학교,고등,5,2026-05-13,2026-05-13,앙꼬4(소영),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0142,CAL-0217,SCH-039,다인중학교,중등,1,2026-04-08,2026-04-11,앙꼬3(나윤),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0143,CAL-0218,SCH-039,다인중학교,중등,2,2026-04-15,2026-04-15,앙꼬3(나윤),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0144,CAL-0219,SCH-039,다인중학교,중등,3,2026-04-22,2026-04-22,앙꼬3(나윤),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0145,CAL-0220,SCH-039,다인중학교,중등,4,2026-04-29,2026-04-30,앙꼬3(나윤),Y,중,담당 교사분이 갑자기 교실 변경을 통보하셔서 헷갈렸어요. 다음 회차 전에 교실 위치 한 번 더 확인 부탁드려요,미확인
REV-0146,CAL-0222,SCH-039,다인중학교,중등,6,2026-05-13,2026-05-14,앙꼬3(나윤),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0147,CAL-0225,SCH-040,윤슬중학교,중등,1,2026-03-04,2026-03-05,앙꼬3(나윤),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0148,CAL-0227,SCH-040,윤슬중학교,중등,3,2026-03-18,2026-03-18,앙꼬3(나윤),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0149,CAL-0229,SCH-040,윤슬중학교,중등,5,2026-04-01,2026-04-02,앙꼬3(나윤),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0150,CAL-0230,SCH-040,윤슬중학교,중등,6,2026-04-08,2026-04-09,앙꼬3(나윤),Y,중,특성화고는 일반계와 학생 반응이 많이 달라요. 워크북 3차시 사례 부분을 특성화고용 별도 버전으로 분리 검토 부탁드려요,댓글확인완료
REV-0151,CAL-0232,SCH-040,윤슬중학교,중등,8,2026-04-22,2026-04-22,앙꼬3(나윤),N,없음,마지막 차시. 수료증 받을 때 박수까지 나왔어요. 학교 측 만족도 높아 보였습니다,댓글확인완료
REV-0152,CAL-0233,SCH-041,라온중학교,중등,1,2026-04-08,2026-04-10,앙꼬5(예린),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0153,CAL-0234,SCH-041,라온중학교,중등,2,2026-04-15,2026-04-16,앙꼬5(예린),Y,심,오늘 수업 중 학생 1명이 다른 학생 워크북을 찢는 사건이 있었습니다. 담임 선생님께 인계했는데 본사에서 학교에 한 번 더 컨택 부탁드려요,전화대응완료
REV-0154,CAL-0235,SCH-041,라온중학교,중등,3,2026-04-29,2026-04-29,앙꼬5(예린),N,없음,마지막 차시. 수료증 받을 때 박수까지 나왔어요. 학교 측 만족도 높아 보였습니다,댓글확인완료
REV-0155,CAL-0236,SCH-041,라온중학교,중등,4,2026-05-06,2026-05-09,앙꼬5(예린),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0156,CAL-0239,SCH-042,도현중학교,중등,1,2026-04-08,2026-04-11,앙꼬5(예린),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0157,CAL-0242,SCH-042,도현중학교,중등,4,2026-05-06,2026-05-08,앙꼬5(예린),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0158,CAL-0245,SCH-043,예솔고등학교,고등,1,2026-04-08,2026-04-10,앙꼬3(나윤),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0159,CAL-0246,SCH-043,예솔고등학교,고등,2,2026-04-15,2026-04-15,앙꼬3(나윤),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0160,CAL-0247,SCH-043,예솔고등학교,고등,3,2026-04-22,2026-04-23,앙꼬3(나윤),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0161,CAL-0249,SCH-043,예솔고등학교,고등,5,2026-05-06,2026-05-07,앙꼬3(나윤),Y,심,담당 교사분이 다음 차시부터는 어렵겠다고 하셔서 학교 측 일정 재조율 필요해 보입니다. 본사 연락 부탁드려요,미확인
REV-0162,CAL-0250,SCH-043,예솔고등학교,고등,6,2026-05-13,2026-05-14,앙꼬3(나윤),Y,중,3차시 비즈니스 모델 캔버스 워크북 인쇄 분량이 모자라서 5장 부족했어요. 다음 회차 발송 시 +10장 부탁드려요,전화대응완료
REV-0163,CAL-0251,SCH-044,주안고등학교,고등,1,2026-03-25,2026-03-25,앙꼬3(나윤),N,없음,워크북 채우는 속도가 빨라서 추가 활동 즉석 진행. 시간 잘 맞춰서 종료했습니다,댓글확인완료
REV-0164,CAL-0252,SCH-044,주안고등학교,고등,2,2026-04-01,2026-04-03,앙꼬3(나윤),Y,저,워크북 인쇄 상태가 깨끗하지 않아서 다음 차시 발송 시 인쇄 품질 확인 부탁드려요,댓글확인완료
REV-0165,CAL-0253,SCH-044,주안고등학교,고등,3,2026-04-08,2026-04-08,앙꼬3(나윤),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0166,CAL-0255,SCH-045,유담중학교,중등,1,2026-04-01,2026-04-01,앙꼬3(나윤),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0167,CAL-0256,SCH-045,유담중학교,중등,2,2026-04-08,2026-04-08,앙꼬3(나윤),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0168,CAL-0258,SCH-045,유담중학교,중등,4,2026-04-22,2026-04-25,앙꼬3(나윤),Y,중,고등학교는 6교시가 14:30 시작이 아니라 14:50이에요. 다른 학교들과 다른데 캘린더에 시작 시간 수정 부탁드려요,댓글확인완료
REV-0169,CAL-0259,SCH-045,유담중학교,중등,5,2026-05-06,2026-05-07,앙꼬3(나윤),Y,저,워크북 인쇄 상태가 깨끗하지 않아서 다음 차시 발송 시 인쇄 품질 확인 부탁드려요,댓글확인완료
REV-0170,CAL-0265,SCH-046,온빛중학교,중등,3,2026-03-18,2026-03-18,앙꼬3(나윤),N,없음,워크북 채우는 속도가 빨라서 추가 활동 즉석 진행. 시간 잘 맞춰서 종료했습니다,댓글확인완료
REV-0171,CAL-0268,SCH-046,온빛중학교,중등,6,2026-04-08,2026-04-10,앙꼬3(나윤),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0172,CAL-0269,SCH-047,한들고등학교,고등,1,2026-03-25,2026-03-27,앙꼬5(예린),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0173,CAL-0271,SCH-047,한들고등학교,고등,3,2026-04-08,2026-04-10,앙꼬5(예린),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0174,CAL-0272,SCH-047,한들고등학교,고등,4,2026-04-15,2026-04-15,앙꼬5(예린),N,없음,처음에는 어색해하더니 후반부에 활동 몰입도 높았어요. 발표 톤도 좋았습니다,댓글확인완료
REV-0175,CAL-0274,SCH-047,한들고등학교,고등,6,2026-04-29,2026-04-29,앙꼬5(예린),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0176,CAL-0277,SCH-048,다온고등학교,고등,3,2026-03-18,2026-03-20,앙꼬5(예린),Y,중,3차시 비즈니스 모델 캔버스 워크북 인쇄 분량이 모자라서 5장 부족했어요. 다음 회차 발송 시 +10장 부탁드려요,댓글확인완료
REV-0177,CAL-0279,SCH-048,다온고등학교,고등,5,2026-04-01,2026-04-01,앙꼬5(예린),Y,중,3차시 비즈니스 모델 캔버스 워크북 인쇄 분량이 모자라서 5장 부족했어요. 다음 회차 발송 시 +10장 부탁드려요,댓글확인완료
REV-0178,CAL-0280,SCH-048,다온고등학교,고등,6,2026-04-08,2026-04-09,앙꼬5(예린),N,없음,워크북 채우는 속도가 빨라서 추가 활동 즉석 진행. 시간 잘 맞춰서 종료했습니다,댓글확인완료
REV-0179,CAL-0282,SCH-049,마루고등학교,고등,2,2026-04-22,2026-04-22,앙꼬5(예린),Y,저,한 학생이 활동 도중 무리하게 도구를 다뤄서 다음에는 안전 안내 한 번 더 짚어주시면 좋겠습니다,댓글확인완료
REV-0180,CAL-0283,SCH-049,마루고등학교,고등,3,2026-04-29,2026-05-02,앙꼬5(예린),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0181,CAL-0284,SCH-049,마루고등학교,고등,4,2026-05-06,2026-05-08,앙꼬5(예린),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0182,CAL-0287,SCH-050,솔빛고등학교,고등,1,2026-03-18,2026-03-20,앙꼬5(예린),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0183,CAL-0288,SCH-050,솔빛고등학교,고등,2,2026-03-25,2026-03-25,앙꼬5(예린),N,없음,처음에는 어색해하더니 후반부에 활동 몰입도 높았어요. 발표 톤도 좋았습니다,댓글확인완료
REV-0184,CAL-0291,SCH-051,수빛중학교,중등,1,2026-03-11,2026-03-13,앙꼬4(소영),Y,저,학생 출결이 평소보다 적었어요(20명 중 14명). 학교 측 행사와 겹쳤는지 확인 부탁드려요,댓글확인완료
REV-0185,CAL-0292,SCH-051,수빛중학교,중등,2,2026-03-18,2026-03-21,앙꼬4(소영),N,없음,오늘 처음 만나는 반이라 아이스브레이킹 길게 진행. 다음 차시부터는 본격 진행 가능할 것 같아요,댓글확인완료
REV-0186,CAL-0294,SCH-051,수빛중학교,중등,4,2026-04-01,2026-04-02,앙꼬4(소영),N,없음,마지막 차시. 수료증 받을 때 박수까지 나왔어요. 학교 측 만족도 높아 보였습니다,댓글확인완료
REV-0187,CAL-0295,SCH-051,수빛중학교,중등,5,2026-04-08,2026-04-09,앙꼬4(소영),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0188,CAL-0296,SCH-051,수빛중학교,중등,6,2026-04-15,2026-04-17,앙꼬4(소영),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0189,CAL-0297,SCH-052,샘말중학교,중등,1,2026-03-11,2026-03-14,앙꼬4(소영),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0190,CAL-0299,SCH-052,샘말중학교,중등,3,2026-03-25,2026-03-27,앙꼬4(소영),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0191,CAL-0300,SCH-052,샘말중학교,중등,4,2026-04-01,2026-04-01,앙꼬4(소영),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0192,CAL-0301,SCH-052,샘말중학교,중등,5,2026-04-08,2026-04-09,앙꼬4(소영),Y,저,한 학생이 활동 도중 무리하게 도구를 다뤄서 다음에는 안전 안내 한 번 더 짚어주시면 좋겠습니다,미확인
REV-0193,CAL-0304,SCH-053,다르내중학교,중등,2,2026-04-22,2026-04-23,앙꼬4(소영),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0194,CAL-0307,SCH-053,다르내중학교,중등,5,2026-05-13,2026-05-14,앙꼬4(소영),Y,저,워크북 인쇄 상태가 깨끗하지 않아서 다음 차시 발송 시 인쇄 품질 확인 부탁드려요,댓글확인완료
